,movieCd,movieNm,movieNmEn,openDt,typeNm,showTm,nations,actors,companys,audits,directors,genres
83,20208264,미스비헤이비어,MISBEHAVIOUR,20200527,장편,106,영국,10078551|10000984|20114003|10026594|10015069|10078803|10019716|10002963|10086351,20100285,2020-MF00819 |15세이상관람가,20348874,드라마
84,20060019,구세주,Oh! My God,20060216,장편,104,한국,10072338|10040551|10004748|20111116|20111462|10000610|20154236|20155058|20164260|20132305|10030361|10056895|10040580|10003606|10004373|20320812,20100269,2006-F026 |15세관람가,10005593,코미디|액션|멜로/로맨스
85,20202585,크루즈 패밀리: 뉴 에이지,The Croods: A New Age,20210505,장편,95,미국,10049633|10014018|10081206|10008729|10085649,20100603,2020-MF02688|전체관람가,20373819,애니메이션|코미디|어드벤처
86,20060179,밴디다스,Bandidas,20060622,장편,93,프랑스,10082948|10036357,20100634,2006-F183|12세관람가,10048721|10066430,액션|코미디
87,20161165,무한대를 본 남자,The Man Who Knew Infinity,20161103,장편,108,영국,10011098|10062976|10080715|10039587|10062925|10075447|10049095|10020239,20100285,2016-MF01551|12세이상관람가,20245929,드라마
88,20080328,미운 오리 새끼의 모험,The Ugly Duckling And Me,20080403,장편,82,프랑스|독일|덴마크,10061120|10026090,20143338|20100829,2008-F137|전체관람가|2016-MF00501 |전체관람가,10023671|10073849,애니메이션|코미디|어드벤처
89,20080965,CJ7:장강7호,Cj7,20080821,장편,88,홍콩,10069049|10035342,20061098,2008-F302|전체관람가,10069049,SF|코미디|판타지
90,20150622,메이즈 러너: 스코치 트라이얼,Maze Runner: The Scorch Trials,20150916,장편,131,미국,10019472|10080483|10073877|20215846,20100041,2015-MF01013 |12세이상관람가|2015-MF01071 |12세이상관람가,10044699,액션|SF|스릴러
91,20060301,데스노트,Death Note,20061102,장편,126,일본,10090651|10023919,20139757|20100649,2006-F315|12세관람가,10073249,범죄|스릴러|드라마
92,20183785,점박이 한반도의 공룡2 : 새로운 낙원,,20181225,장편,93,한국,10029595|10013826|20127194|20232226|20320152|20320543|20321726|20242187|20322240|20152246|20192066|10005374|20313412|20365060,20100932,2018-MF02240|전체관람가|2018-MF02449 |전체관람가,20312035,애니메이션
93,20136800,넛잡: 땅콩 도둑들,The Nut Job,20140129,장편,85,한국|캐나다|미국,10052972|10032261|10019770|10074936|10040941,20100123,2014-MF00003 |전체관람가|2014-MF00007 |전체관람가,20111790,애니메이션|어드벤처|코미디|가족
95,20090194,토마스와 친구들 - 극장판,The Great Discovery,20090409,장편,61,영국,10085363,20062806,2009-F105|전체관람가,10039146,애니메이션|가족
96,20136060,몬스터,Monster,20140313,장편,113,한국,10055447|20125838|20137818|20113272|10028660|10004034|10004373|20192830|20164825|20124130|20153778|20194230|20182925|20186074|10072160|20154648|10088450|20162607|10007481|20150459|20136191|20152117|20203246|20310549,20100520,2014-MF00023 |청소년관람불가,10090261,스릴러
97,20182082,부탁 하나만 들어줘,A Simple Favor,20181212,장편,116,미국,10032816|10042927|10083429|10045975,20122837,2018-MF02209|청소년관람불가,10083870,스릴러|미스터리
98,20192401,포드 V 페라리,FORD v FERRARI,20191204,장편,152,미국,10025511|10077325,20161801,2019-MF02315|12세이상관람가,10064101,액션|드라마
99,20090013,트랩,The Flock,20090129,장편,105,미국,10019930|10078305,20100137,2008-F449|청소년관람불가,10053875,범죄|스릴러|액션
100,20209961,지저귀는 새는 날지 않는다,The Clouds gather,20200716,장편,85,일본,20350052|20350053,20122837,2020-MF01397|청소년관람불가,20349692,애니메이션
101,20134123,집으로 가는 길,Way Back Home,20131211,장편,130,한국,10061252|10001656|10019134|20132305|10072255|20132262|20132417|20128231|20192506|20112852|20153322|20156740|20111164|10088450|10056600|20141806|10004125|20070207|20198870|20136191|20186095|10060043|10006219|20231468|10055460|20216086|20346433|10029329|20228232,20110854,2013-MF00772 |15세이상관람가,10029969,드라마
102,20070092,메신져 - 죽은자들의 경고,The Messengers,20070606,장편,90,미국,10077997|10082947,20111653,2007-F162|12세관람가,10010231|10051034,공포(호러)
103,20100215,점박이:한반도의 공룡3D,Speckles: The Tarbosaurus,20120126,장편,88,한국,20113891|20125887|10002239,20110854,2012-F23|전체관람가|2012-F34 |전체관람가,20312035,애니메이션|어드벤처|액션
104,20178395,12 솔져스,12 Strong,20180131,장편,130,미국,10077282|10023167|10023591|20259189,20161101,2018-MF00156|15세이상관람가,10055497,액션|드라마|전쟁
105,20040571,령,The Ghost,20040617,장편,98,한국,10006171|20337341|10019124|10007527|10056972|10061532|20179150|20161631|10006221|10003307,20100103,2004-F158|12세관람가,20111601|10057071,공포(호러)
106,20182221,스파키,Spark : A Space Tail,20180412,장편,91,한국,10063343|10037628,20100829,2018-MF00479|전체관람가,10040004|20315335,애니메이션|어드벤처|코미디
108,20040734,노트북,The Notebook,20041126,장편,123,미국,10015500|10014012,20139095|20139196|20169189|20100109,2004-F312|15세관람가|2016-MF01433|15세이상관람가,10008972,멜로/로맨스
109,20217512,쇼크 웨이브 2,Shock Wave 2,20210520,장편,120,중국,10053575|10054074|20178220,20100634,2021-MF00876|15세이상관람가,20072820,액션|범죄|스릴러
110,20142741,혼스,Horns,20141127,장편,119,미국,10009288|10068874,20122837,2014-MF01139 |청소년관람불가,10044547,판타지|스릴러
111,20090089,파르나서스 박사의 상상극장,The Imaginarium Of Doctor Parnassus,20091223,장편,122,미국,10065531|10091017|10076626|10068896|10021065|10077680,20100808,2009-F429|12세이상관람가,10079776,판타지|어드벤처|미스터리
112,20198182,아내를 죽였다,Killed My Wife,20191211,장편,97,한국,20161740|10042972|10027861|20068978|20147712|20155961|10006463|20204727|20145624|20150671|20338737|20366063|20158488|20316854|20189372|20355312|20366072|20355279|20355280|20350921|20366073|20366074|20342232|20366064|20366075|20110159|20366076|20342645|20366065|20366066|20366067|20366068|10005172|20344993|20366077|20365387|20355282|20340329|20364886|20265849|20366078|20344775|20335380|20315384|20366069|20140781|20195029|20341052|20366070|10036818|20366071|20125483|20331974|20150881|20366092|20360437|20364318|20227390|20343349|20341179,20111211,2019-MF02434|15세이상관람가,20331974,스릴러|액션
113,20050249,날 미치게하는 남자,Fever Pitch,20051007,장편,102,미국,10069919|10013224,20101507,2005-F171|12세관람가,10028253|10086073,코미디|멜로/로맨스|드라마
114,20168282,블레이드 러너 2049,Blade Runner 2049,20171012,장편,163,미국,10014012|10088165|20115400|10040786|10059151|20125951|10017363|10025100|10014879|10052030|10052908|10069000|10091024,20173221,2017-MF01624|15세이상관람가,20113786,SF|액션
115,20163215,미 비포 유,Me Before You,20160601,장편,110,미국,10091623|20173124|10025138,20100043,2016-MF00638 |12세이상관람가,20235566,멜로/로맨스|드라마
116,20209882,블루 아워,Blue Hour,20200722,장편,91,일본,10074239|10040874|10053766|10051393|10039932|10012401,20101102,2020-MF00883|12세이상관람가,20351092,드라마
117,20060015,백만장자의 첫사랑,A Millionaire’s First Love,20060209,장편,116,한국,10088975|10056633|10058018|10066745|10004279|20166871|10062035|20122649|20135552|20135676|20138022|20142442|20150129|20065600|20155053|20158388|20160285|20161731|20161975|20160394|20165468|20165492|10049967|10055414|10046875|10057816|20147712,20100520,2006-F019|12세관람가,10006085,멜로/로맨스|코미디
118,20081002,멋진 하루,My Dear Enemy,20080925,장편,123,한국,10061252|10087253|10006385|10004973|10057175|10005801|10029233|20140651|20146540|20199448|10060279|10003307|10072645|10070602|20289190|10050779|10056247|10087820|10004841|20144840,20100520,2008-F351|12세이상관람가,10056949,드라마|멜로/로맨스
120,20169122,아이 엠 어 히어로,I Am a Hero,20160921,장편,126,일본,10050689|10018884|10006649,20139135,2016-MF01266|청소년관람불가,10034595,액션|공포(호러)
121,20142621,시간이탈자,Time Renegades,20160413,장편,107,한국,10058646|20121022|10057628|10062279|10054943|10051070|20113003|20111408|20125801|10058687|10062050|20111116|20189237|20189354|20248697|20181686|20249878|20251006|20210527|20253851|20195618|20254790|20180602|20270880|20281330|20213266|20347217|20220443,20110854,2016-MF00443 |15세이상관람가,10002002,스릴러
